word,frequency,topic_id
home,184,3
better,184,3
lady,183,3
jimmy,183,3
might,182,3
kid,182,3
band,182,3
house,180,3
mom,180,3
tribute,177,3
part,177,3
together,176,3
country,175,3
feel,173,3
premiere,173,3
told,172,3
return,171,3
since,171,3
end,170,3
bill,169,3
scene,168,3
amy,168,3
friday,167,3
win,165,3
rapper,163,3
second,163,3
getting,163,3
clip,163,3
documentary,163,3
tweet,162,3
heart,161,3
york,160,3
christmas,160,3
face,159,3
beyonc?,159,3
name,159,3
prince,158,3
reason,158,3
young,157,3
comedian,157,3
something,157,3
called,157,3
every,156,3
single,156,3
red,155,3
lot,155,3
disney,155,3
month,154,3
city,154,3
legend,154,3
birthday,154,3
artist,154,3
took,153,3
favorite,152,3
mark,151,3
tour,151,3
surprise,150,3
smith,150,3
everything,149,3
find,148,3
read,147,3
men,146,3
bad,145,3
perfect,145,3
everyone,145,3
couple,145,3
kylie,145,3
golden,144,3
theater,144,3
party,144,3
long,144,3
concert,143,3
medium,143,3
record,143,3
stage,143,3
word,142,3
break,142,3
weinstein,142,3
book,142,3
musical,141,3
always,141,3
king,140,3
died,140,3
boy,140,3
guy,140,3
history,139,3
place,139,3
stop,138,3
paul,138,3
winner,137,3
reality,137,3
happy,136,3
already,136,3
miley,136,3
mean,136,3
george,135,3
chrissy,135,3
stephen,135,3
globe,134,3
pop,134,3
post,134,3
yet,134,3
cover,134,3
ready,134,3
opening,133,3
teigen,133,3
claim,133,3
cyrus,133,3
jon,133,3
full,132,3
thought,131,3
upcoming,131,3
making,131,3
bieber,131,3
super,130,3
away,129,3
age,128,3
horror,128,3
gaga,128,3
adorable,127,3
producer,127,3
question,126,3
career,126,3
old,125,3
keep,125,3
TRUE,124,3
kelly,123,3
joke,123,3
behind,122,3
three,121,3
summer,121,3
released,121,3
help,121,3
actually,121,3
report,120,3
mother,120,3
hard,120,3
spear,119,3
harvey,119,3
almost,119,3
past,118,3
harry,118,3
went,118,3
ellen,118,3
ago,117,3
social,117,3
adele,117,3
la,116,3
emmy,116,3
turn,116,3
williams,116,3
today,116,3
brown,116,3
around,116,3
queen,115,3
wrote,115,3
academy,115,3
message,115,3
voice,115,3
britney,113,3
special,113,3
pay,112,3
fallon,112,3
nomination,112,3
schumer,112,3
found,112,3
playing,112,3
drama,112,3
fun,112,3
jones,112,3
nothing,112,3
audience,111,3
perry,111,3
lead,111,3
picture,111,3
wife,110,3
colbert,110,3
battle,110,3
carrie,110,3
major,109,3
hope,109,3
came,109,3
change,109,3
pretty,109,3
join,108,3
wo,108,3
corden,107,3
hbo,107,3
dance,107,3
event,107,3
list,107,3
support,106,3
put,106,3
accused,105,3
classic,105,3
kind,105,3
kevin,105,3
sunday,104,3
fire,104,3
allegation,104,3
update,104,3
move,104,3
nick,104,3
internet,103,3
head,103,3
jessica,103,3
member,102,3
school,102,3
original,101,3
sequel,101,3
date,101,3
person,101,3
final,101,3
number,101,3
future,101,3
fall,101,3
start,101,3
dream,101,3
dad,100,3
ben,99,3
writer,98,3
art,98,3
rumor,98,3
marvel,98,3
project,98,3
someone,98,3
beautiful,98,3
according,98,3
dark,98,3
father,97,3
famous,97,3
assault,97,3
adam,97,3
feature,97,3
brother,97,3
comment,97,3
secret,97,3
theory,97,3
khloe,97,3
scott,96,3
dog,96,3
honor,95,3
police,95,3
meet,95,3
enough,95,3
cosby,95,3
attack,94,3
sex,94,3
carpet,94,3
kimmel,94,3
f,94,3
exclusive,94,3
group,94,3
watching,94,3
force,94,3
sister,93,3
creator,93,3
sound,93,3
reynolds,93,3
explains,93,3
saturday,93,3
seen,93,3
appearance,92,3
without,92,3
run,92,3
talking,92,3
kate,92,3
drake,92,3
wedding,92,3
grammys,92,3
robert,92,3
holiday,92,3
oh,92,3
ceremony,91,3
lost,91,3
known,91,3
obama,91,3
drop,90,3
choice,90,3
reunion,90,3
teen,90,3
screen,90,3
lawrence,90,3
teaser,90,3
track,89,3
bowl,89,3
emotional,89,3
whole,89,3
try,89,3
far,89,3
rose,89,3
sweet,88,3
gomez,88,3
husband,88,3
left,88,3
baldwin,88,3
played,88,3
critic,88,3
case,87,3
selena,87,3
speech,87,3
fox,87,3
power,87,3
katy,87,3
public,86,3
high,86,3
asked,86,3
following,86,3
powerful,86,3
grammy,86,3
light,86,3
female,86,3
early,85,3
issue,85,3
god,85,3
eye,85,3
conversation,85,3
idea,84,3
martin,84,3
body,84,3
wanted,84,3
stewart,84,3
announced,84,3
miss,84,3
taking,84,3
grande,84,3
sure,84,3
dy,83,3
heard,83,3
hot,83,3
ariana,83,3
los,83,3
fisher,83,3
studio,82,3
working,82,3
reboot,82,3
point,82,3
believe,82,3
line,82,3
child,3491,4
kid,3415,4
parent,2445,4
mom,2004,4
baby,1712,4
day,1535,4
one,1492,4
time,1426,4
like,1155,4
thing,1118,4
life,1093,4
year,1078,4
family,1074,4
daughter,1037,4
know,1031,4
new,1026,4
mother,1007,4
way,947,4
need,943,4
make,926,4
get,900,4
want,870,4
school,867,4
parenting,864,4
dad,864,4
son,846,4
video,789,4
little,766,4
love,748,4
girl,727,4
first,707,4
would,688,4
say,670,4
u,639,4
woman,611,4
could,589,4
think,579,4
help,578,4
world,569,4
photo,567,4
take,563,4
boy,550,4
feel,548,4
even,547,4
people,547,4
every,544,4
many,541,4
much,536,4
go,533,4
really,510,4
good,508,4
best,485,4
may,471,4
never,467,4
week,463,4
two,450,4
toddler,448,4
back,444,4
come,438,4
right,429,4
work,423,4
let,420,4
home,419,4
something,417,4
talk,415,4
see,413,4
teen,406,4
name,401,4
father,395,4
said,388,4
give,384,4
look,383,4
study,380,4
going,362,4
friend,355,4
find,354,4
tell,351,4
still,347,4
moment,342,4
always,329,4
birth,328,4
last,328,4
young,326,4
mean,321,4
better,316,4
story,314,4
also,307,4
pregnancy,306,4
show,302,4
ca,298,4
breastfeeding,297,4
around,296,4
book,292,4
part,292,4
today,290,4
ever,287,4
made,287,4
question,285,4
important,280,4
word,274,4
month,271,4
thought,268,4
without,268,4
age,267,4
pregnant,267,4
teach,267,4
game,263,4
stop,260,4
tip,259,4
lot,259,4
holiday,258,4
play,256,4
well,254,4
share,251,4
toy,250,4
keep,250,4
long,249,4
big,248,4
autism,247,4
hard,246,4
heart,246,4
learn,245,4
enough,245,4
watch,245,4
often,245,4
different,244,4
gift,244,4
experience,243,4
